Rank,Movie Name,Release Year,Rating,Genre,Director,Stars,Votes,Gross,Length of Movie
125.,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,"
Crime, Drama            ",Martin McDonagh,"Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones","239,242","239,242",115 min
126.,The Wolf of Wall Street,(2013),8.2,"
Biography, Comedy, Crime            ",Jordan Belfort,"Jordan Belfort,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey","953,276","953,276",180 min
127.,Heat,(1995),8.2,"
Crime, Drama, Thriller            ",Michael Mann,"Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight","494,591","494,591",170 min
128.,Hacksaw Ridge,(2016),8.2,"
Biography, Drama, History            ",Desmond T. Doss,"Desmond T. Doss,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer","320,280","320,280",139 min
129.,Blade Runner,(1982),8.2,"
Sci-Fi, Thriller            ",Ridley Scott,"Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos","585,990","585,990",117 min
130.,Inside Out,(I) (2015),8.2,"
Animation, Adventure, Comedy            ",Pete Docter,"Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black,Mindy Kaling","483,054","483,054",95 min
131.,Warrior,(2011),8.2,"
Drama, Sport            ",Gavin O'Connor,"Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison","383,460","383,460",140 min
132.,Room,(I) (2015),8.2,"
Drama            ",Lenny Abrahamson,"Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson","275,916","275,916",118 min
133.,Die Hard,(1988),8.2,"
Action, Thriller            ",John McTiernan,"John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson","679,052","679,052",132 min
134.,Pan's Labyrinth,(2006),8.2,"
Drama, Fantasy, War            ",Guillermo del Toro,"Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú","541,196","541,196",118 min
135.,A Beautiful Mind,(2001),8.2,"
Biography, Drama            ",John Nash,"John Nash,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer","721,121","721,121",135 min
136.,V for Vendetta,(2005),8.2,"
Action, Drama, Sci-Fi            ",James McTeigue,"James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea","905,219","905,219",132 min
137.,The Great Escape,(1963),8.2,"
Adventure, Drama, History            ",John Sturges,"John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson","193,854","193,854",172 min
138.,Trainspotting,(1996),8.2,"
Drama            ",Danny Boyle,"Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd","558,208","558,208",94 min
139.,Gone with the Wind,(1939),8.2,"
Drama, History, Romance            ",Victor Fleming,"Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,Thomas Mitchell,Barbara O'Neil","249,880","249,880",238 min
140.,Casino,(1995),8.2,"
Crime, Drama            ",Martin Scorsese,"Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods","388,946","388,946",178 min
141.,Unforgiven,(1992),8.2,"
Drama, Western            ",Clint Eastwood,"Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris","321,220","321,220",130 min
142.,"Lock, Stock and Two Smoking Barrels",(1998),8.2,"
Comedy, Crime            ",Guy Ritchie,"Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham","470,269","470,269",107 min
143.,Der Untergang,(2004),8.2,"
Biography, Drama, History            ",Oliver Hirschbiegel,"Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Juliane Köhler","288,287","288,287",156 min
144.,Hauru no ugoku shiro,(2004),8.2,"
Animation, Adventure, Family            ",Hayao Miyazaki,"Hayao Miyazaki,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa","260,913","260,913",119 min
145.,The Elephant Man,(1980),8.2,"
Biography, Drama            ",David Lynch,"David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud","189,289","189,289",124 min
146.,Incendies,(2010),8.2,"
Drama, Mystery, War            ",Denis Villeneuve,"Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel","110,948","110,948",131 min
147.,El secreto de sus ojos,(2009),8.2,"
Drama, Mystery, Romance            ",Juan José Campanella,"Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo","161,415","161,415",129 min
148.,Tonari no Totoro,(1988),8.2,"
Animation, Family, Fantasy            ",Hayao Miyazaki,"Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi","217,631","217,631",86 min
149.,Raging Bull,(1980),8.2,"
Biography, Drama, Sport            ",Jake LaMotta,"Jake LaMotta,Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent","271,408","271,408",129 min
150.,Idi i smotri,(1985),8.2,"
Drama, War            ",Elem Klimov,"Elem Klimov,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,Vladas Bagdonas","38,339","38,339",142 min
151.,Chinatown,(1974),8.2,"
Drama, Mystery, Thriller            ",Roman Polanski,"Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez","250,738","250,738",130 min
152.,The Bridge on the River Kwai,(1957),8.2,"
Adventure, Drama, War            ",David Lean,"David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa","175,988","175,988",161 min
153.,Det sjunde inseglet,(1957),8.2,"
Drama, Fantasy            ",Ingmar Bergman,"Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe","133,340","133,340",96 min
154.,Ran,(1985),8.2,"
Action, Drama            ",Akira Kurosawa,"Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû","93,309","93,309",162 min
155.,The Third Man,(1949),8.2,"
Film-Noir, Mystery, Thriller            ",Carol Reed,"Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard","135,027","135,027",104 min
156.,Dial M for Murder,(1954),8.2,"
Crime, Film-Noir, Thriller            ",Alfred Hitchcock,"Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams","131,197","131,197",105 min
157.,On the Waterfront,(1954),8.2,"
Crime, Drama, Thriller            ",Elia Kazan,"Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger","120,964","120,964",108 min
158.,Mr. Smith Goes to Washington,(1939),8.2,"
Comedy, Drama            ",Frank Capra,"Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold","92,549","92,549",129 min
159.,Andrei Rublev,(1966),8.2,"
Biography, Drama, History            ",Andrei Tarkovsky,"Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev","34,807","34,807",205 min
160.,A Wednesday,(2008),8.2,"
Crime, Drama, Mystery            ",Neeraj Pandey,"Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Deepal Shaw","62,815","62,815",104 min
161.,Judgment at Nuremberg,(1961),8.2,"
Drama, War            ",Stanley Kramer,"Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich","57,026","57,026",186 min
162.,Smultronstället,(1957),8.2,"
Drama, Romance            ",Ingmar Bergman,"Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand","77,536","77,536",91 min
163.,Tôkyô monogatari,(1953),8.2,"
Drama            ",Yasujirô Ozu,"Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara","39,133","39,133",136 min
164.,La passion de Jeanne d'Arc,(1928),8.2,"
Biography, Drama, History            ",Carl Theodor Dreyer,"Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz","36,858","36,858",110 min
165.,Le salaire de la peur,(1953),8.2,"
Adventure, Drama, Thriller            ",Henri-Georges Clouzot,"Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli","45,019","45,019",131 min
166.,Sunrise: A Song of Two Humans,(1927),8.2,"
Drama, Romance            ",F.W. Murnau,"F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing","39,892","39,892",94 min
167.,The General,(1926),8.2,"
Action, Adventure, Comedy            ",Clyde Bruckman,"Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack,Glen Cavender,Jim Farley","66,699","66,699",67 min
168.,The Gold Rush,(1925),8.2,"
Adventure, Comedy, Drama            ",Charles Chaplin,"Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman","83,236","83,236",95 min
169.,Deadpool 2,(2018),8.1,"
Action, Adventure, Comedy            ",David Leitch,"David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison","128,941","128,941",119 min
170.,Guardians of the Galaxy,(2014),8.1,"
Action, Adventure, Sci-Fi            ",James Gunn,"James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana","846,769","846,769",121 min
171.,Blade Runner 2049,(2017),8.1,"
Drama, Mystery, Sci-Fi            ",Denis Villeneuve,"Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista","297,605","297,605",164 min
172.,Logan,(2017),8.1,"
Action, Drama, Sci-Fi            ",James Mangold,"James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook","484,263","484,263",137 min
173.,Jurassic Park,(1993),8.1,"
Adventure, Sci-Fi, Thriller            ",Steven Spielberg,"Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough","725,063","725,063",127 min
174.,Mad Max: Fury Road,(2015),8.1,"
Action, Adventure, Sci-Fi            ",George Miller,"George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz","715,010","715,010",120 min
175.,No Country for Old Men,(2007),8.1,"
Crime, Drama, Thriller            ",Ethan Coen,"Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson","716,970","716,970",122 min
176.,Gone Girl,(2014),8.1,"
Crime, Drama, Mystery            ",David Fincher,"David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry","704,050","704,050",149 min
177.,Prisoners,(2013),8.1,"
Crime, Drama, Mystery            ",Denis Villeneuve,"Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo","485,640","485,640",153 min
178.,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,"
Adventure, Drama, Fantasy            ",David Yates,"David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon","644,863","644,863",130 min
179.,La La Land,(I) (2016),8.1,"
Comedy, Drama, Music            ",Damien Chazelle,"Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons","374,711","374,711",128 min
180.,The Princess Bride,(1987),8.1,"
Adventure, Family, Fantasy            ",Rob Reiner,"Rob Reiner,Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon","337,833","337,833",98 min
181.,Stand by Me,(1986),8.1,"
Adventure, Drama            ",Rob Reiner,"Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell","315,980","315,980",89 min
182.,Donnie Darko,(2001),8.1,"
Drama, Sci-Fi, Thriller            ",Richard Kelly,"Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne","664,534","664,534",113 min
183.,Kill Bill: Vol. 1,(2003),8.1,"
Action, Crime, Thriller            ",Quentin Tarantino,"Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen","849,094","849,094",111 min
184.,Shutter Island,(2010),8.1,"
Mystery, Thriller            ",Martin Scorsese,"Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley","934,855","934,855",138 min
185.,The Grand Budapest Hotel,(2014),8.1,"
Adventure, Comedy, Drama            ",Wes Anderson,"Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody","588,252","588,252",99 min
186.,The Big Lebowski,(1998),8.1,"
Comedy, Crime            ",Joel Coen,"Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,Steve Buscemi","622,685","622,685",117 min
187.,12 Years a Slave,(2013),8.1,"
Biography, Drama, History            ",Solomon Northup,"Solomon Northup,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt","537,974","537,974",134 min
188.,The Help,(2011),8.1,"
Drama            ",Tate Taylor,"Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard","370,779","370,779",146 min
189.,Spotlight,(I) (2015),8.1,"
Crime, Drama, History            ",Tom McCarthy,"Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber","324,919","324,919",128 min
190.,The Truman Show,(1998),8.1,"
Comedy, Drama, Sci-Fi            ",Peter Weir,"Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich","782,103","782,103",103 min
191.,The Sixth Sense,(1999),8.1,"
Drama, Mystery, Thriller            ",M. Night Shyamalan,"M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams","800,488","800,488",107 min
192.,There Will Be Blood,(2007),8.1,"
Drama            ",Paul Thomas Anderson,"Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer","436,441","436,441",158 min
193.,Platoon,(1986),8.1,"
Drama, War            ",Oliver Stone,"Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David","333,940","333,940",120 min
194.,Into the Wild,(2007),8.1,"
Adventure, Biography, Drama            ",Sean Penn,"Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden","496,989","496,989",148 min
195.,Catch Me If You Can,(2002),8.1,"
Biography, Crime, Drama            ",Steven Spielberg,"Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen","657,826","657,826",141 min
196.,"Monsters, Inc.",(2001),8.1,"
Animation, Adventure, Comedy            ",Pete Docter,"Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,Mary Gibbs,Steve Buscemi","689,178","689,178",92 min
197.,Fargo,(1996),8.1,"
Crime, Drama, Thriller            ",Joel Coen,"Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi,Peter Stormare","529,135","529,135",98 min
198.,Rush,(I) (2013),8.1,"
Action, Biography, Drama            ",James Hunt,"James Hunt,Niki Lauda,Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara","370,623","370,623",123 min
199.,Finding Nemo,(2003),8.1,"
Animation, Adventure, Comedy            ",Andrew Stanton,"Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe","812,912","812,912",100 min
200.,The Thing,(1982),8.1,"
Horror, Mystery, Sci-Fi            ",John Carpenter,"John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur","307,978","307,978",109 min
201.,Dead Poets Society,(1989),8.1,"
Comedy, Drama            ",Peter Weir,"Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles","333,531","333,531",128 min
202.,How to Train Your Dragon,(2010),8.1,"
Animation, Action, Adventure            ",Dean DeBlois,"Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Craig Ferguson","567,581","567,581",98 min
203.,Rocky,(1976),8.1,"
Drama, Sport            ",John G. Avildsen,"John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers","442,669","442,669",120 min
204.,Million Dollar Baby,(2004),8.1,"
Drama, Sport            ",Clint Eastwood,"Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel","556,099","556,099",132 min
205.,The Deer Hunter,(1978),8.1,"
Drama, War            ",Michael Cimino,"Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage","269,526","269,526",183 min
206.,The Grapes of Wrath,(1940),8.1,"
Drama, History            ",John Ford,"John Ford,Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin","76,656","76,656",129 min
207.,Ah-ga-ssi,(2016),8.1,"
Crime, Drama, Mystery            ",Chan-wook Park,"Chan-wook Park,Min-hee Kim,Jung-woo Ha,Jin-Woong Cho,So-Ri Moon","61,233","61,233",144 min
208.,Relatos salvajes,(2014),8.1,"
Comedy, Drama, Thriller            ",Damián Szifron,"Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Rita Cortese","134,573","134,573",122 min
209.,Life of Brian,(1979),8.1,"
Comedy            ",Terry Jones,"Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam","313,447","313,447",94 min
210.,Stalker,(1979),8.1,"
Drama, Sci-Fi            ",Andrei Tarkovsky,"Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko","89,056","89,056",162 min
211.,Gran Torino,(2008),8.1,"
Drama            ",Clint Eastwood,"Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her","637,680","637,680",116 min
212.,Barry Lyndon,(1975),8.1,"
Adventure, Drama, History            ",Stanley Kubrick,"Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger","122,887","122,887",185 min
213.,Before Sunrise,(1995),8.1,"
Drama, Romance            ",Richard Linklater,"Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl","221,659","221,659",101 min
214.,Hachi: A Dog's Tale,(2009),8.1,"
Drama, Family            ",Lasse Hallström,"Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer","204,659","204,659",93 min
215.,Ben-Hur,(1959),8.1,"
Adventure, Drama, History            ",William Wyler,"William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet","190,705","190,705",212 min
216.,Hotel Rwanda,(2004),8.1,"
Biography, Drama, History            ",Terry George,"Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali","300,208","300,208",121 min
217.,Cool Hand Luke,(1967),8.1,"
Crime, Drama            ",Stuart Rosenberg,"Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon","139,865","139,865",126 min
218.,Faa yeung nin wa,(2000),8.1,"
Drama, Romance            ",Kar-Wai Wong,"Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung","96,537","96,537",98 min
219.,Before Sunset,(2004),8.1,"
Drama, Romance            ",Richard Linklater,"Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès","193,610","193,610",80 min
220.,Butch Cassidy and the Sundance Kid,(1969),8.1,"
Biography, Crime, Drama            ",George Roy Hill,"George Roy Hill,Paul Newman,Robert Redford,Katharine Ross,Strother Martin","177,138","177,138",110 min
221.,Amores perros,(2000),8.1,"
Drama, Thriller            ",Alejandro G. Iñárritu,"Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero","198,148","198,148",154 min
222.,Network,(1976),8.1,"
Drama            ",Sidney Lumet,"Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall","123,216","123,216",121 min
223.,"Paris, Texas",(1984),8.1,"
Drama            ",Wim Wenders,"Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément","66,682","66,682",145 min
224.,La haine,(1995),8.1,"
Crime, Drama            ",Mathieu Kassovitz,"Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili","124,373","124,373",98 min
225.,Gandhi,(1982),8.1,"
Biography, Drama, History            ",Richard Attenborough,"Richard Attenborough,Ben Kingsley,John Gielgud,Candice Bergen,Edward Fox","198,119","198,119",191 min
226.,The Maltese Falcon,(1941),8.1,"
Film-Noir, Mystery            ",John Huston,"John Huston,Humphrey Bogart,Mary Astor,Gladys George,Peter Lorre","133,380","133,380",100 min
227.,Salinui chueok,(2003),8.1,"
Action, Crime, Drama            ",Joon-ho Bong,"Joon-ho Bong,Kang-ho Song,Sang-kyung Kim,Roe-ha Kim,Jae-ho Song","90,306","90,306",131 min
228.,In the Name of the Father,(1993),8.1,"
Biography, Drama            ",Jim Sheridan,"Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King","132,881","132,881",133 min
229.,Rebecca,(1940),8.1,"
Drama, Mystery, Romance            ",Alfred Hitchcock,"Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson","104,401","104,401",130 min
230.,Kaze no tani no Naushika,(1984),8.1,"
Animation, Adventure, Fantasy            ",Hayao Miyazaki,"Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya","119,094","119,094",117 min
231.,Persona,(1966),8.1,"
Drama, Thriller            ",Ingmar Bergman,"Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand","79,107","79,107",85 min
232.,8½,(1963),8.1,"
Drama            ",Federico Fellini,"Federico Fellini,Marcello Mastroianni,Anouk Aimée,Claudia Cardinale,Sandra Milo","94,239","94,239",138 min
233.,Mary and Max,(2009),8.1,"
Animation, Comedy, Drama            ",Adam Elliot,"Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries","142,338","142,338",92 min
234.,Mou gaan dou,(2002),8.1,"
Crime, Drama, Mystery            ",Wai-Keung Lau,"Wai-Keung Lau,Alan Mak,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,Eric Tsang","107,684","107,684",101 min
235.,Touch of Evil,(1958),8.1,"
Crime, Drama, Film-Noir            ",Orson Welles,"Orson Welles,Charlton Heston,Orson Welles,Janet Leigh,Joseph Calleia","86,467","86,467",95 min
236.,Paper Moon,(1973),8.1,"
Comedy, Crime, Drama            ",Peter Bogdanovich,"Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman","33,755","33,755",102 min
237.,The Best Years of Our Lives,(1946),8.1,"
Drama, Romance, War            ",William Wyler,"William Wyler,Myrna Loy,Dana Andrews,Fredric March,Teresa Wright","50,292","50,292",170 min
238.,It Happened One Night,(1934),8.1,"
Comedy, Romance            ",Frank Capra,"Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns","79,658","79,658",105 min
239.,Les quatre cents coups,(1959),8.1,"
Crime, Drama            ",François Truffaut,"François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble","86,105","86,105",99 min
240.,Les diaboliques,(1955),8.1,"
Crime, Drama, Horror            ",Henri-Georges Clouzot,"Henri-Georges Clouzot,Simone Signoret,Véra Clouzot,Paul Meurisse,Charles Vanel","52,846","52,846",117 min
241.,Le notti di Cabiria,(1957),8.1,"
Drama            ",Federico Fellini,"Federico Fellini,Giulietta Masina,François Périer,Franca Marzi,Dorian Gray","35,911","35,911",110 min
242.,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,"
Action, Adventure, Fantasy            ",Gore Verbinski,"Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley","918,286","918,286",143 min
243.,Jaws,(1975),8.0,"
Adventure, Drama, Thriller            ",Steven Spielberg,"Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary","480,164","480,164",124 min
244.,Beauty and the Beast,(1991),8.0,"
Animation, Family, Fantasy            ",Gary Trousdale,"Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,Rex Everhart","367,584","367,584",84 min
245.,The Terminator,(1984),8.0,"
Action, Sci-Fi            ",James Cameron,"James Cameron,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield","688,385","688,385",107 min
246.,The Wizard of Oz,(1939),8.0,"
Adventure, Family, Fantasy            ",Victor Fleming,"Victor Fleming,George Cukor,Mervyn LeRoy,Norman Taurog,King Vidor,Judy Garland,Frank Morgan,Ray Bolger,Bert Lahr","333,643","333,643",102 min
247.,The Bourne Ultimatum,(2007),8.0,"
Action, Mystery, Thriller            ",Paul Greengrass,"Paul Greengrass,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles","559,904","559,904",115 min
248.,Twelve Monkeys,(1995),8.0,"
Mystery, Sci-Fi, Thriller            ",Terry Gilliam,"Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito","522,021","522,021",129 min
249.,Groundhog Day,(1993),8.0,"
Comedy, Fantasy, Romance            ",Harold Ramis,"Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky","511,177","511,177",101 min
250.,Annie Hall,(1977),8.0,"
Comedy, Romance            ",Woody Allen,"Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane","227,111","227,111",93 min
